valor
29,800
30,550
30,400
31,500
30,900
31,050
31,300
32,200
33,050
33,700
34,000
33,700
33,000
33,700
33,700
34,850
34,550
36,000
36,000
35,750
35,700
35,650
35,150
35,750
36,100
36,450
36,000
35,050
34,150
34,000
35,200
35,600
35,550
35,600
35,800
35,850
36,750
36,900
37,100
36,700
37,400
37,100
36,500
38,200
38,500
38,300
38,800
40,750
41,250
40,650
40,650
41,750
41,300
40,900
40,400
40,150
40,350
40,500
39,450
39,700
40,000
39,600
40,600
41,900
38,400
38,800
38,400
38,700
38,400
38,750
38,900
39,400
40,000
39,900
40,050
40,250
40,150
38,900
38,750
38,300
37,100
37,050
35,700
36,000
36,700
37,700
38,850
38,600
38,150
37,900
38,000
39,100
38,500
38,700
39,400
39,800
40,050
39,400
38,500
37,500
37,850
39,250
42,500
42,600
43,150
41,900
41,500
40,550
41,200
43,050
42,600
43,350
42,850
42,700
42,700
43,000
43,300
43,550
42,800
43,100
42,800
42,700
41,800
41,600
41,500
41,400
41,800
41,700
41,700
42,600
43,150
42,850
43,200
43,200
43,500
45,250
46,200
46,000
45,450
46,550
47,200
47,050
46,750
47,000
47,450
46,850
44,600
44,100
45,000
46,500
48,700
49,600
48,750
48,500
47,350
47,000
48,000
48,250
48,600
47,400
47,200
46,500
46,650
45,400
44,000
42,250
43,500
45,500
45,400
45,250
46,700
46,850
46,500
45,300
45,000
44,900
44,300
44,000
43,200
42,750
43,750
44,350
44,200
44,750
44,400
44,500
44,750
44,550
46,600
46,800
48,450
48,800
49,100
49,200
50,250
49,850
51,200
51,700
52,000
52,400
53,400
52,900
51,700
52,500
53,950
55,950
